Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S08352000016,10/16/2012,4239,Fareway Stores #850 / Spirit Lake,1906 KEOKUK,SPIRIT LAKE,51360,"1906 KEOKUK
SPIRIT LAKE 51360
(43.421681, -95.10622)",30.0,Dickinson,1031080.0,VODKA 80 PROOF,380.0,Phillips Beverage Company,37348,Phillips Vodka,6,1750,$7.31,$10.97,6,$65.82,10.5,2.77
S17777500010,03/10/2014,3629,Wal-Mart 1965 / Council Bluffs,3200 MANAWA DR,COUNCIL BLUFFS,51503,"3200 MANAWA DR
COUNCIL BLUFFS 51503
",78.0,Pottawattamie,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41360,Uv Pink Lemonade Vodka,12,750,$6.50,$9.74,12,$116.88,9.0,2.38
S10470100020,02/07/2013,3041,Shugar's Super Valu / Colfax,28 E HOWARD,COLFAX,50054,"28 E HOWARD
COLFAX 50054
(41.677804, -93.245037)",50.0,Jasper,1081200.0,CREAM LIQUEURS,300.0,Mccormick Distilling Company,65200,Tequila Rose Liqueur,12,750,$7.33,$11.99,2,$23.98,1.5,0.4
S27173400021,08/05/2015,4273,Smokin' Joe's #4 Tobacco and Liquor,2800 E UNIVERSITY AVE,DES MOINES,50317,"2800 E UNIVERSITY AVE
DES MOINES 50317
(41.600563, -93.562136)",77.0,Polk,1101100.0,AMERICAN ALCOHOL,434.0,Luxco-St Louis,41846,Everclear Alcohol,12,750,$9.00,$13.50,1,$13.50,0.75,0.2
S11810700022,04/23/2013,4616,C's Spencer Liquor,719 2ND AVE W,SPENCER,51301,"719 2ND AVE W
SPENCER 51301
(43.145197, -95.14774)",21.0,Clay,1012100.0,CANADIAN WHISKIES,115.0,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,$10.45,$15.67,12,$188.04,21.0,5.55
S24984800017,04/09/2015,2806,Osco #881 / Clinton,1307 N SECOND,CLINTON,52732,"1307 N SECOND
CLINTON 52732
(41.858483, -90.184946)",23.0,Clinton,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434.0,Luxco-St Louis,45276,Paramount White Rum,12,750,$4.00,$6.00,12,$72.00,9.0,2.38
S17997400014,03/20/2014,4686,Sunny's Mart / Clinton,630 N 3rd ST,CLINTON,52732,"630 N 3rd ST
CLINTON 52732
(41.850694, -90.189909)",23.0,Clinton,1031080.0,VODKA 80 PROOF,260.0,Diageo Americas,37994,Smirnoff Vodka 80 Prf,24,375,$4.75,$7.13,4,$28.52,1.5,0.4
S19467600001,06/10/2014,2562,Hy-Vee Food Store / Fort Dodge,115 SOUTH 29TH ST,FORT DODGE,50501,"115 SOUTH 29TH ST
FORT DODGE 50501
(42.504742, -94.158247)",94.0,Webster,1081600.0,WHISKEY LIQUEUR,85.0,Brown-Forman Corporation,86888,Southern Comfort PET,6,1750,$19.16,$28.74,6,$172.44,10.5,2.77
S17003200042,01/23/2014,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,"315 S GILBERT ST
IOWA CITY 52240
(41.657654, -91.530181)",52.0,Johnson,1032200.0,IMPORTED VODKA - MISC,395.0,Proximo,34995,Three Olives Grape Vodka,12,750,$11.17,$16.76,12,$201.12,9.0,2.38
S21426500023,09/25/2014,4170,Dewey's Jack and Jill,115 E MAIN ST  PO BOX 359,WEST BRANCH,52358,"115 E MAIN ST PO BOX 359
WEST BRANCH 52358
(41.67139, -91.34538)",16.0,Cedar,1032080.0,IMPORTED VODKA,370.0,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,$14.99,$22.49,2,$44.98,2.0,0.53
S16488600047,12/24/2013,4819,Super Stop 2 / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,"2635 ADVENTURELAND DR
ALTOONA 50009
(41.65854, -93.494642)",77.0,Polk,1081600.0,WHISKEY LIQUEUR,421.0,"Sazerac Co., Inc.",64862,Fireball Cinnamon Whiskey,12,375,$5.33,$7.99,12,$95.88,4.5,1.19
S27471200005,08/24/2015,4421,KUM & GO #1 / HAMPTON,609 CENTRAL AVE W,HAMPTON,50441,"609 CENTRAL AVE W
HAMPTON 50441
(42.741741, -93.21508)",35.0,Franklin,1062310.0,SPICED RUM,260.0,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,$9.00,$13.50,12,$162.00,9.0,2.38
S14012300040,08/20/2013,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,"1324, 1st AVE E
NEWTON 50208
(41.699173, -93.035654)",50.0,Jasper,1032080.0,IMPORTED VODKA,370.0,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,$15.00,$22.49,3,$67.47,3.0,0.79
S17973700049,03/19/2014,2566,Hy-Vee Food Store / Knoxville,813 N LINCOLN STE 1,KNOXVILLE,50138,"813 N LINCOLN STE 1
KNOXVILLE 50138
(41.325428, -93.109494)",63.0,Marion,1081380.0,MISCELLANEOUS SCHNAPPS,55.0,Sazerac North America,84170,99 Bananas,12,750,$9.50,$14.25,3,$42.75,2.25,0.59
S24665300110,03/23/2015,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,"3600 BUSINESS HWY 151 EAST
MARION 52302
",57.0,Linn,1031080.0,VODKA 80 PROOF,461.0,Campari(skyy),37986,Skyy Vodka,12,750,$8.48,$13.49,4,$53.96,3.0,0.79
S16385800070,12/20/2013,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7.0,Black Hawk,1062310.0,SPICED RUM,260.0,Diageo Americas,43337,Captain Morgan Spiced Rum,12,1000,$11.75,$17.62,24,$422.88,24.0,6.34
S16938000047,01/22/2014,3825,Shop N Save #2 / E 14th,1372 E 14TH ST,DES MOINES,50316,"1372 E 14TH ST
DES MOINES 50316
(41.604893, -93.600499)",77.0,Polk,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41693,Uv Blue (raspberry) Vodka,12,750,$6.50,$9.74,3,$29.22,2.25,0.59
S16036600009,12/02/2013,3443,Super Saver Iv,1141 N BROADWAY,COUNCIL BLUFFS,51503,"1141 N BROADWAY
COUNCIL BLUFFS 51503
(41.270824, -95.836515)",78.0,Pottawattamie,1081010.0,AMERICAN AMARETTO,434.0,Luxco-St Louis,76486,Paramount Amaretto,12,750,$3.38,$5.07,12,$60.84,9.0,2.38
S24232700038,02/25/2015,4073,"Uptown Liquor, Llc",306 HWY 69 SOUTH,FOREST CITY,50436,"306 HWY 69 SOUTH
FOREST CITY 50436
(43.261793, -93.63325)",95.0,Winnebago,1031080.0,VODKA 80 PROOF,55.0,Sazerac North America,35317,Barton Vodka,12,1000,$3.97,$5.96,12,$71.52,12.0,3.17
S13182300003,07/04/2013,3805,Washington Street Mini Mart,1601 WASHINGTON ST,DAVENPORT,52084,"1601 WASHINGTON ST
DAVENPORT 52084
(41.535834, -90.596255)",82.0,Scott,1081390.0,IMPORTED SCHNAPPS,260.0,Diageo Americas,69945,Rumple Minze Peppermint Schnapps Liqueur,12,375,$7.00,$10.50,12,$126.00,4.5,1.19
S25352000026,04/28/2015,3700,Avoca Liquor,158 SOUTH ELM,AVOCA,51521,"158 SOUTH ELM
AVOCA 51521
(41.475941, -95.339425)",78.0,Pottawattamie,1012100.0,CANADIAN WHISKIES,115.0,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,$10.45,$15.68,18,$282.24,31.5,8.32
S11589000018,04/11/2013,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,"100 8TH STREET SW
ALTOONA 50009
(41.644041, -93.465301)",77.0,Polk,1031080.0,VODKA 80 PROOF,421.0,"Sazerac Co., Inc.",38088,Platinum 7x Vodka,6,1750,$9.43,$14.15,6,$84.90,10.5,2.77
S26873700012,07/21/2015,4321,Fareway Stores #501 / Charles City,210  11TH ST,CHARLES CITY,50616,"210 11TH ST
CHARLES CITY 50616
(43.052712, -92.674449)",34.0,Floyd,1022100.0,TEQUILA,395.0,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,$10.49,$15.74,2,$31.48,1.5,0.4
S14694500014,09/23/2013,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,"1013 MAIN
KEOKUK 52632
(40.39978, -91.387531)",56.0,Lee,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,11297,Crown Royal Canadian Whisky,12,1000,$18.25,$27.37,24,$656.88,24.0,6.34
S28594500122,10/21/2015,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82.0,Scott,1012210.0,SINGLE MALT SCOTCH,370.0,Pernod Ricard USA/Austin Nichols,721,Glenlivet Nadurra Oloroso,6,750,$39.99,$59.99,4,$239.96,3.0,0.79
S28669300019,10/27/2015,3808,Thriftway,300  4TH ST,LA PORTE CITY,50651,"300 4TH ST
LA PORTE CITY 50651
(42.316243, -92.190812)",7.0,Black Hawk,1051100.0,APRICOT BRANDIES,434.0,Luxco-St Louis,54446,Paramount Apricot Flavored Brandy,12,750,$5.48,$8.22,2,$16.44,1.5,0.4
S13272500002,07/10/2013,2178,"Double ""D"" Liquor Store",618 ROSSVILLE ROAD,WAUKON,52172,"618 ROSSVILLE ROAD
WAUKON 52172
(43.262115, -91.473634)",3.0,Allamakee,1051110.0,BLACKBERRY BRANDIES,434.0,Luxco-St Louis,55088,Paramount Blackberry Brandy,6,1750,$11.28,$16.93,6,$101.58,10.5,2.77
S19518200081,06/12/2014,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1ST AVE,IOWA CITY,52240,"812 S 1ST AVE
IOWA CITY 52240
",52.0,Johnson,1041100.0,AMERICAN DRY GINS,434.0,Luxco-St Louis,31654,Paramount Gin,24,375,$1.99,$2.98,2,$5.96,0.75,0.2
S15612900126,11/14/2013,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,"724 1ST ST E
MT VERNON 52314
(41.91776, -91.410151)",57.0,Linn,1032080.0,IMPORTED VODKA,115.0,"Constellation Wine Company, Inc.",34821,Svedka Vodka,6,1750,$14.75,$22.13,2,$44.26,3.5,0.92
S10939000009,03/05/2013,2959,Dahl's / Merle Hay,4343 MERLE HAY ROAD,DES MOINES,50310,"4343 MERLE HAY ROAD
DES MOINES 50310
(41.637408, -93.697647)",77.0,Polk,1031080.0,VODKA 80 PROOF,434.0,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,$7.13,$10.70,18,$192.60,31.5,8.32
S04184400060,02/21/2012,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",82.0,Scott,1062100.0,JAMAICA RUM,260.0,Diageo Americas,42167,Myers's Rum Original Dark,12,1000,$11.95,$17.93,12,$215.16,12.0,3.17
S29206600212,11/20/2015,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,"3140 AGENCY
BURLINGTON 52601
(40.814689, -91.137509)",29.0,Des Moines,1011300.0,TENNESSEE WHISKIES,85.0,Brown-Forman Corporation,26828,Jack Daniels Old #7 Black Lbl,6,1750,$29.67,$44.51,30,$1335.30,52.5,13.87
S04591500026,03/15/2012,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,"1324, 1st AVE E
NEWTON 50208
(41.699173, -93.035654)",50.0,Jasper,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,$6.60,$9.90,1,$9.90,0.3,0.08
S13208100054,07/08/2013,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,"3111 MAIN
KEOKUK 52632
(40.414975, -91.403338)",56.0,Lee,1081390.0,IMPORTED SCHNAPPS,260.0,Diageo Americas,69947,Rumple Minze Peppermint Schnapps Liqueur,12,1000,$15.50,$23.25,12,$279.00,12.0,3.17
S05920200012,06/06/2012,4118,Lake View Redemption Center,502 5th Street,LAKE VIEW,51450,"502 5th Street
LAKE VIEW 51450
(42.307764, -95.051539)",81.0,Sac,1031100.0,100 PROOF VODKA,300.0,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,$7.46,$11.19,6,$67.14,10.5,2.77
S19206900017,05/29/2014,4648,Prime Mart / Broadway Waterloo,508 BROADWAY ST,WATERLOO,50703,"508 BROADWAY ST
WATERLOO 50703
(42.510573, -92.345104)",7.0,Black Hawk,1032080.0,IMPORTED VODKA,35.0,"Bacardi U.S.A., Inc.",34423,Grey Goose Vodka,12,375,$9.00,$13.50,24,$324.00,9.0,2.38
